text,time
Lang Ping just announced her retirement as a coach after Tokyo Olympics. What an overwhelming experience as a player and a coach truly one of the best in the world!,2020-12-27
It's so sad to see that the commentator is like that... I mean come on! As a person from Serbia I too did want Serbia to win but bro! I didn't say anything bad to the other team. I even cheered for them too! ,2021-12-27
I love Serbian team and especially Tijana Bošković. This was a great match and Chinese team really deserved it. Respect both teams. ,2020-12-27
I love Lang Ping she is so calm and she is just sitting back a watching. Shes trained her girls so much that she trusts them and knows that they will come through with a win. And with Serbia's coach is walking around probably trying not to lose his temper.,2020-12-27
I just couldn't pull back smiling and laughing whenever I hear Yuan of China screams out loud in and off court. I love her energy!! Btw she's incredible too.,2020-12-27
"This was a truly thrilling match, with every point contested by the Serbians right up to the last moment.  Zhu Ting was truly awesome, and Ding Xia at ",2020-12-27
Epic game! Congrats to both teams for making it this far.,2021-12-27
"In my younger days, I never had an eye on the volleyball game not until I accidentally watched China women volleyball match first with Brazil, Nevertheland and finally with Serbia for Olympic Championship in Reo. I enjoyed not because of China’s winning, the team work and attitude. There is a strong determination to reach the goal quietly. The games made me a fan of  China Women Volleyball. I am proud of them.",2020-12-27
Excelente partida! Emocionante!,2021-12-27
Thanks a lot for uploading an HD version of the match. Fantastic performance for both teams.,2020-12-27
Favourite moment from each team:,2020-12-27
"For those of you that saying Boskovic is better, look at how many unforced errors she made in this match! Zhu is so consistent and strong, very rarely makes errors, which is why she deserves to be the top paid volleyball player ever!",2020-12-27
"I've been watching this match for couple of times and still feel the passions and excitement. Today I just notice #6 GONG, the youngest player, was substituted-in in set #3 and #4 for the last minutes, she even did not touched the ball once and got the gold medal. Wow! And in the previous match with the Netherlands, she was also substituted by the end of the match, she spiked and got the second last point that time. CHU, Boskovic,.......can't wait to see you in Tokyo Olympics.",2021-12-27
"I always enjoyed watching volleyball before the rio games in more of a hey, volleyball, cool sort of way, but the Serbian team made me go out of my way to watch it. What an enjoyable team to watch in victory or defeat. Love them.",2020-12-27
"Zhu fez o jogo da vida na recepção e Malesevic no ataque. Esta última fez uma boa partida no ataque, até por ser ponteira de preparação, já que sua função no time era passar, defender, dar volume de jogo, e principalmente cobrir a Mihajlovic que, por sua vez, não acordou para o jogo, infelizmente.",2020-12-27
Ganhar uma Olimpíada perdendo um set apenas em toda a competição Não é pra qualquer um. Orgulho ,2020-12-27
Highlights,2020-12-27
Brasil já ganhou 2  finais olímpicas  em cima do EUA 🇧🇷🇧🇷🇧🇷,2019-12-28
"Depois de 11 anos, esta ainda é  a seleção mais perfeita de todos os tempos. Se tivessem continuado juntas, ganhariam a Rio 2016 e Tóquio 2020.",2020-12-27
Esta foi a melhor selecao feminina brasileira de todos os tempos que vi jogar. Obs. Tenho 69 anos.,2019-12-28
"Fofão: sem comentários! Não vi um erro dela, perfeita!! Saudades! Sheila destruidora! Fabiana paredão e Fabi um monstro! Nessa olimpíada não tinha pra ninguém. 🇧🇷",2021-12-27
"Enfim , depois de 11 anos , estou vendo esse jogo em ótima qualidade.",2019-12-28
Soy cuba pero amo el voleibol de 🇧🇷 Las mejores del mundo ,2020-12-27
"Ganhar da Argentina é uma delícia. Mas ganhar dos EUA, o gostinho é mais doce 🇧🇷",2021-12-27
Nessas olimpíadas a Fabiana simplesmente humilhou todas as outras centrais do mundo. Fantástica,2019-12-28
"Grande brasil 🇧🇷 ,siempre sacando la cara por Sudamérica !! Saludos desde chile 🇨🇱",2020-12-27
"A Mari merecia muito ser bicampeã olímpica com a equipe em 2012, mas independente de qualquer coisa ela fez história no esporte brasileiro. Mari Steinbrecher. ",2022-01-31
"The year where Brazil has the most complete all-around team. The golden triangle wing spikers - Mari, Paula, Sheilla - were just too much to any team that time. Fabiana & Walewska were playing super quick and so amazing in both attacks and defense. The legendary Fabi guard the floor almost flawlessly. And of course, the living legend Fofao - the golden hands.",2019-12-28
Pra mim essa foi a MAIOR e MELHOR seleção de voleibol feminino de TODOS OS TEMPOS!,2021-12-27
"Final inesquecível, tinha 10 anos na época. Foi aí que me apaixonei pelo vôlei feminino",2019-12-28
Só quem é brasileiro e gosta de vôlei sabe o quanto essa medalha de Ouro significou.,2020-12-27
"Fofao y Walewska fueron parte de juegos olímpicos anteriores, de generaciones espectaculares. Me encantó que en esta medalla de oro estuvieran ellas como representantes de anteriores históricas para el Volei brasileño.",2021-12-27
"Bravo Brasil . Que victoria, para recordar por siempre. Felicidades.",2021-12-27
"Não tem como não chorar, vem a lembrança de Atenas quando perdemos a semi final para Rússia e perdermos o 3 lugar para Cuba. Em Pequim 2008 Brasil jogou muito, 8 jogos, 25 sets, 24 ganhos e apenas perdendo 1 set. Sem sombra de dúvidas uns das melhores seleções Olímpicas de Vôlei de todos os tempos.",2019-12-28
"Me deu vontade de rever essa conquista. 14 anos depois, muito vivo em minha memória.",2022-05-01
"I love the friendship between all the gymnasts here. Everyone including the competitors all wanted her to do well (cheering, clapping, screaming for her). This is so nice to see.",2021-12-27
"This routine is so complete! Difficult mount combo, TWO ACROBATIC SERIES, dance series, dance and acro combined, difficult dismount. Congratulations Guan Chenchen!",2021-12-27
"Although her qualification performance was a lot better and less wobbly, she still delivered a great routine here. Deserved gold medal! Please upload Tang Xijing's silver beam routine as well. That one is my personal favorite",2021-12-27
"Wonderful sportsmanship in Tokyo 2020! We can see Suni and Simone cheering her on and being happy after her routine. What a well-deserved win, congratulations! And kudos also to the lovely commentators.",2021-12-27
She's so adorable. An incredible gymnast indeed. Totally deserve the gold. Her routine is perfect,2021-12-27
"I'm so happy she won. The individual finals this year were so wholesome and warm, it felt like all the girls were cheering and happy for each other.",2021-12-27
"How adorable of her not even realizing she just won Gold! Love her teammate cheering her on and also love love Jeff, Cecile, Suni, and Simone very excitedly cheering for her too while she was on beam! It’s really heartwarming to watch all the gymnasts were cheering for each other at this Olympics.",2021-12-27
"As someone who has followed Gymnastics so closely since the 80s the one thing that’s gotten better about the sport is the camaraderie. In the 80s/90s the gymnasts didn’t know each other except reputation and name, sometimes not even that, but social media has changed all that. All the gymnasts follow each other on Twitter, Instagram etc so they become friends and supporters even outside the arena… so they’re closer when they do come to the meet.",2021-12-27
"Chinese are among the finest beam workers, I’m so happy for her ",2021-12-27
"It feels great to see other gymnasts applauding her great skills in the background (suni Lee, Tang xijjng), excellence should always be appreciated be it your opponent or your fellow countrymen.",2021-12-27
Her routine is amazing. Well done Guan! Hope to see her shining in Paris.,2021-12-27
"She’s so strong yet tiny! Very skilled and really love that all the teams are supportive of her, no politics in sports! She really is amazing!",2021-12-27
I was anxious to see her since China's nationals. I love her routine especially at ,2021-12-27
"Guan Chenchen completísima, belleza y dificultad, a esto le llamo yo gimnasia artística ",2021-12-27
"This was a fabulous routine, so beautifully performed even with a few wavers. Hopefully she’ll come back to try and defend!",2022-09-28
That was probably the best and most complicated beam routine I've ever seen. I don't know how they don't miss that skinny little beam and crack their heads open. Amazing!,2021-12-27
"Fantastic, can't wait to see her in future competitions, specially Paris 2024, I hope she wins more golds!",2021-12-27
So happy for her! I love this routine.,2021-12-27
"At the end... ""She can stay on beam but can't stay on feet""",2021-12-27
"She is so adorable, every one likes her including competitors.",2021-12-27
the Paralympic athletes are super heroes and are true inspirations for people all over the world. they all deserve gold medals for their hard work and dedication and for not letting the differences get the best of them. I send them all my love and praise.,2013-12-29
"I've got to be honest. My favorite part was the Paralympic Oath. I think all athletes regardless of their affiliation or sovereignty should take this or a similar oath at BOTH the Olympic and the Paralympic Games. This is my first Paralympic opening, and I respected and was in awe of that part more than any other part of the ceremony. ",2013-12-29
¡Increíble! Estuve como espectador la noche de la ceremonia y desde luego en directo era impresionante ¡La mejor sin duda! The best ceremony I've ever seen!!,2013-12-29
"Vamos Chile !!!. Nuestros atletas entregarán su mayor esfuerzo. Lo hacen a diario.
",2012-12-29
I was a dancer with the Blue dresses our segment was called Navigation!!! It has been a tremendous experience which I will never ever forget!!! I am so impressed how everything turned out so beautifully!!! Very very proud! Thx London 2012 for the opportunity :))),2012-12-29
"Umbrellas and apples are very much part of everyday life in Britain, but the ordinary became extraordinary in the Paralympic Games' ambitious and unexpectedly scientific Opening Ceremony. Themes of discovery, adventure, human endeavour and equality are so much more upbeat than the Scouring of the Shire and a painful Hey Jude. Marvellous!",2012-12-29
I get the goosebumps when I hear the beautiful Paralympic Anthem.,2021-12-27
"This is a different opening sequence than the official broadcast. The TV showed a video about the 7/7 bombings & the stadium had a video about 4 of the performers and their journeys. The moment when Lance corporal Rawlins said, ""If you want to know what I will be doing during the ceremony, look up!"" was truly stunning. He was flying the Aerobility plane. The crowd roared! I was standing in the middle of the stadium at this point and was an inspiring moment when he flew over!  Thanks for posting!",2012-12-29
I was thinking about Ian Dury earlier and wishing he was alive to play here... as the Olympics had a music theme. I can hardly believe they actually did it at about 3:26:00 AWESOME!!!!,2012-12-29
"The opening to the International Paralympic Games was extraordinary.  It was inclusive, original, and all together thrilling.  ",2012-12-29
Extraordinary! great emotion. I was the only athlete from Albania who participated for the first time in the history of the Paralympic Games. vision 31 th minute of the video. thank you for this memory.,2013-12-29
3:26,2015-12-29
these are real heroes!I should really take inspiration from them!,2012-12-29
I was lucky enough to be one of the certifying engineers on the pyrotechnics and led lights fitment on the flypast aircraft (starting at about ,2019-12-28
"Amazing!!!! All those actors, dancers, and athletes are an inspiration. Also, de participation of Stephen Hawking, with a message of hope , constant struggle in life... BEAUTIFUL!!!",2015-12-29
The closing ceremony was AWESOME,2012-12-29
"0:34:08 MI PAIS, ORGULLOSO DE SER ARGENTINO",2012-12-29
"Thats what I mean. The olympics opening ceremony was clearly done on a bigger budget, however this one actually told a story and brought out real emotions. It was hard not to have a lump in ya throat while watching this. It showed that you don't need to go all out there with money, fireworks and so on, you just need a good form of story telling and put real heart into it.",2012-12-29
"The Directors want to so proud of themselves, They put on a magnificent show, Personally much more touching and better than Boyle's Ceremony.",2012-12-29
The national anthem was absolutely beautiful. <3,2012-12-29
The fact they actually came through and built all of this infrastructure and villages in time boogles my mind.,2022-03-02
I pray that they actually use the villages after the games. There are so many Olympic villages that just sit and rot for no good reason.,2022-03-02
"Business Insider is like ""can you believe it, these games aren't going to make a profit. I can't believe it""",2022-03-02
Public infrastructure isn’t supposed to generate profits.,2022-03-02
There are tons of videos right here on Youtube about WHY Olympics are so expensive and a lot of it has nothing to do with the host nation. The standards set by the Olympic committee are sometimes absurd. Beijing is no difference in this regard.,2022-03-02
"Beijing is a large city with a population of 21 million. It is of great commercial value to build a professional ski resort in the surrounding area. There are originally many commercial ski resorts around Beijing, but I think having a more professional and larger ski resort is what most Chinese people would like to see. I live in Tianjin, a city very close to Beijing (30 minutes by high-speed train). I personally would love to go skiing at this ski resort on weekends.",2022-03-02
"Throughline did an amazing podcast on the costs of the Olympic Games. Worth a listen. It’s not just China, the Olympic committee is just trying to greenwash it imo due to all of the recent scrutiny",2022-03-02
"For China, hosting the Olympics is like a car company racing cars — testing your latest technology and then applying it to other models",2022-03-02
"The stock market is still a fantastic tool for building wealth, however, so it's wise to consider investing even if you don't have much money to spare",2022-06-30
"Yep, China did build one line for the vunue commute, but it is not a fresh investment from ground zero. They just added one branch line to the massive domestic 40,000 km high speed railway network.",2022-03-02
"I think the one who was responsible for producing such a  “brilliant” analysis might have forgotten about the infrastructures that would be transcend the sport and would be used way long after the games ended by locals. And I’m pretty sure, if Beijing didn’t live up to it’s promise and underspent and therefore would build poor infrastructure, it definitely would trigger Business Insiders to produce another “show” probably called “Beijing’s cheap olympics” ",2022-11-27
The big air is a permanent structure that was built for the world championship in 2019.,2022-03-02
"The budget for the 2022 Beijing Winter Olympic Games is US $1.56 billion, with 6% government subsidy. Most of the venues use the venues of the 2008 Summer Olympic Games. Infrastructure such as railways will be built even without the Olympic Games, which cannot be counted as the cost of the Olympic Games.",2022-03-02
"Beijing's 2021 gdp is 633 million US dollars. In 2021, the number of subways opened in Beijing is 9 sections with a total length of 56.1 kilometers. The Olympic section is only a part, about 4.2 kilometers, and the actual opening is 3.6 kilometers. One kilometer of subway in Beijing costs about $150 million.",2022-03-02
The fact is 3.9 billion is only for the Olympic. ,2022-03-02
That's basically an entire nation's budget right there,2022-03-02
"Please release the original interview with the expert, it is obvious for the trainline part he was cut off. The trainline and train as he said was a part of local project that will be built with or without the game. Beijing is crowded enough and the city expansion to outer cities is ongoing.",2022-03-02
"I see very little fact finding has gone into this video, so let me explain why the 3.9 billion official figure is not as ridiculous as everyone thinks. ",2022-03-02
"If there is one country that don't make a loss out of an Olympics that would be China. They have the human capacity and also well thought out plans for whatever infrastructure they built for it. Instead of treating the infrastructure as ""only for the Olympics"" they would have definitely thought about what it will become after the Olympics, especially transport infrastructure. All the 2008 Beijing Olympics structures built are well kept and and in use till this day for example the birds nest. So I don't think its really fair to compare everyone the same way. Olympics has always been expensive, therefore well thought out planning is needed for every country if they want to host it.",2022-03-02
"Even the used extra water was mentioned, the reporters did not know there is a nation wide water infrastructure project started ten years ago and now completed to channel extra water across thousands of Miles from south west... For 10years not a single HSR was added to California",2022-03-02
"Thank you for sharing, I sat up all night in Australia waiting for the Opening Ceremony. It was amazing, loved it!",2022-03-02
"As an old fan of yours, I want to say that YOU CAN ALWAYS TRUST THE FOOD IN CHINA, espiecally in the event held by the official! In fact, there were more than 900 dishes (70% are western foods and 30% are Chinese foods) with a 24-hour supply in 2008 Beijing Olympics. The dishes repeated every 8 days, and there is a track system that tracked the ingredients' orgins for up to two years to ensure their safety and taste. You should know that China always greets foreign guests with the highest standards and the Chinese people really take meal seriously, though it's hard for you guys to find out the truth that covered by the western media.",2022-03-02
The real show is completely different from what the US media is describing ,2022-03-02
Thanks for bringing us this close to Olympics! Love your positive attitude!,2022-03-02
We appreciate the effort! Thanks guys and stay warm! :),2022-03-02
"Really love the scene in which you guys holding big bowl of hot noodles n talking about all sorts of AI supported self-services in Olympic Village n then along with your narration it naturally pops up those on-site pictures, so cute, this kinda scenario arrangement makes me think of the way of story telling in cartoon pictures/movies.",2022-03-02
"Loving your Olympics videos, hoping you've got a few more lined up as well! ",2022-03-02
I loved your videos. Thanks for making the world a better place! Thanks for making a difference!,2022-03-02
I would’ve loved to be a volunteer there as it was extremely difficult to get tickets to see the games in London (I was a volunteer there as well),2022-03-02
Sometimes the best things in life are when things dont go as planned,2022-03-02
"Wish every success of the Olympics, with the athletes.",2022-03-02
Thanks for your efforts and for sharing this video! ,2022-03-02
🚨,2022-03-02
Glad you got to watch the opening ceremony at least. Good job capturing that kiss! ,2022-03-02
There's nothing more enjoyable than a big bowl of hot noodles in winter. Love from Shanghai,2022-03-02
You guys and the Olympic Park were so near and yet so far. But your fun time with your new neighbour Amy in the pub made up for the disappointment. :D,2022-03-02
You guys have super extraordinary inspectigative powers.,2022-03-02
Almost 50k followers! Congrats in advance!!!,2022-03-02
Lets win some medals ,2022-03-02
i am so happy and heartened to watch you lovely vidio！ i love both of you and hope you have nice holidays in China；Chinese always welcome both you!,2022-03-02
